timestamp,load,vibration_x,vibration_y,q3,servo1_raw,servo3_raw,servo5_raw,servo6_raw,xgyro,yacc,pitch,rollspeed,label
41:11.7,600,1.68E-08,0.000127736,0.01291265,746.0714286,749.547619,750,750,0.000274883,0.00728801,-0.025825892,0.000274779,benign
41:12.7,610,1.78E-08,0.000138251,0.018052681,743.9761905,744.8809524,750,750,-0.000925539,-0.006900753,-0.036107355,-0.000254008,benign
41:13.8,604,1.41E-08,0.000129071,0.016956012,744.0952381,746.7619048,750,750,0.002773232,-0.000668151,-0.03391339,0.002789584,benign
41:14.8,610,1.41E-08,0.000126293,0.018442459,745.5714286,744.8333333,750,750,-0.00178778,-0.02255599,-0.036891951,-0.001149035,benign
41:15.9,610,1.30E-08,0.000117713,0.018812723,742.6904762,744.8333333,750,750,-0.005029473,-0.021588105,-0.037622612,-0.004915584,benign
41:16.9,607,1.28E-08,0.000120772,0.016515283,746.1904762,744.8333333,750,750,0.000545812,-0.000279804,-0.03303218,0.000545819,benign
41:18.0,612,1.19E-08,0.000122027,0.017089833,745.8095238,746.047619,750,750,-0.00494642,0.014631209,-0.034180247,-0.005162818,benign
41:19.0,607,1.37E-08,0.000127114,0.014576094,742.9761905,746.7142857,750,750,0.004635731,0.002167148,-0.029150154,0.004437454,benign
41:20.1,609,1.48E-08,0.000132994,0.016102422,741.6190476,744.452381,750,750,0.001641663,0.00234918,-0.032206108,0.002092778,benign
41:21.1,608,1.54E-08,0.000131527,0.018852586,740.6190476,744.5238095,750,750,-0.002316075,-0.001804694,-0.037706268,-0.002261432,benign
41:22.2,603,1.54E-08,0.000124597,0.017412652,746.8333333,745.047619,750,750,0.000414427,-0.000874609,-0.034827212,0.000414372,benign
41:23.2,604,1.46E-08,0.000129623,0.018208255,744.2619048,745.0714286,750,750,-0.002859855,-0.007466191,-0.036418788,-0.002859874,benign
41:24.3,602,1.28E-08,0.000117577,0.015791819,744.1428571,745.3095238,750,750,-0.000358542,0.028284222,-0.031585021,-0.00023759,benign
41:25.3,601,1.16E-08,0.000113781,0.014110271,746.2619048,743.1428571,750,750,0.000130453,0.011510255,-0.028215708,0.000382563,benign
41:26.4,602,1.27E-08,0.000115308,0.016597703,744.3333333,743.5714286,750,750,0.001196741,-0.000334266,-0.033196931,0.001196728,benign
41:27.4,600,1.36E-08,0.000121745,0.020614098,744.6190476,744.4761905,750,750,0.003095118,-0.009185852,-0.041233735,0.003329117,benign
41:28.5,605,1.83E-08,0.000132562,0.0186753,740.7380952,744.5952381,750,750,0.003644361,-0.014921036,-0.037355663,0.003806141,benign
41:29.5,600,1.43E-08,0.000112646,0.017254201,745.6904762,742.7142857,750,750,-0.003756079,0.007970711,-0.034509256,-0.003996972,benign
41:30.6,599,1.34E-08,0.000117443,0.016149689,744.1904762,748.2142857,750,750,0.005088539,-0.006388673,-0.032306515,0.004580805,benign
41:31.6,601,1.09E-08,0.000112123,0.017168613,745.452381,745.2619048,750,750,0.001171895,-0.007994624,-0.034339184,0.001171924,benign
41:32.7,600,1.26E-08,0.000116806,0.020175004,747.2380952,746.9761905,750,750,0.002492518,-0.02524512,-0.040353824,0.002492518,benign
41:33.7,602,1.21E-08,0.000116596,0.019970134,743.6428571,745.0238095,750,750,-0.005960607,0.010683318,-0.039943477,-0.005960613,benign
41:34.8,603,1.24E-08,0.000114631,0.01729268,744.4285714,744.8809524,750,750,-0.002938971,0.002753715,-0.034584869,-0.003075324,benign
41:35.9,605,1.25E-08,0.000113961,0.015401191,745.047619,743.0238095,750,750,-0.000402247,0.018513228,-0.030805614,-0.000429711,benign
41:36.9,601,1.38E-08,0.000111372,0.016769544,746.0714286,745.1666667,750,750,0.005107523,-0.006331359,-0.033542255,0.004065835,benign
41:37.9,605,1.35E-08,0.00011368,0.022443513,744.1428571,746.3333333,750,750,0.009807038,-0.022112715,-0.044895717,0.0096185,benign
41:39.0,599,1.43E-08,0.000120918,0.023121481,747,746.3333333,750,750,-0.001423477,-0.032000063,-0.04625552,-0.001423424,benign
41:40.0,597,3.18E-08,0.000173022,0.002971647,745.9047619,745.4761905,750,750,-0.008233509,-0.029401,-0.005953666,-0.008233497,benign
41:41.1,601,3.93E-08,0.00017216,-0.066495758,747.1666667,746.9285714,750,750,0.010813355,-0.052039897,0.133090737,0.011267793,benign
41:42.1,602,2.23E-08,0.000142685,-0.058630178,747.9047619,747.6428571,750,750,0.025723744,-0.045231765,0.11717177,0.02584304,benign
41:43.2,649,3.10E-08,0.000153011,-0.020370214,748.0714286,745.6904762,750,750,-0.00026002,-0.055204651,0.039796694,-0.00020489,benign
41:44.2,656,2.21E-08,0.000131324,0.002019282,745.547619,746.0238095,750,750,-0.024547697,-0.050746794,-0.005057943,-0.023679529,benign
41:45.3,650,2.57E-08,0.000152362,0.002046419,746.0952381,743.8571429,750,750,-0.035043508,-0.052485402,-0.003979549,-0.034900034,benign
41:46.3,656,3.85E-08,0.000177061,-0.002488709,744.4761905,747.3095238,750,750,-0.011470251,-0.054394687,0.004543095,-0.011470743,benign
41:47.4,648,4.71E-08,0.000183505,0.004031204,749.6666667,739.7142857,750,750,0.016624522,-0.041993825,-0.009192986,0.016663593,benign
41:48.4,613,1.08E-07,0.000244811,0.124003204,748.5,754.3571429,750,750,0.013682432,-0.073647355,-0.248734767,0.013682005,benign
41:49.5,624.5,1.07E-07,0.000290198,-0.005727998,746.5952381,749.047619,750,750,-0.036032301,-0.102029663,0.011292733,-0.035479934,benign
41:50.5,657,4.09E-08,0.000169668,-0.069343969,747.3571429,744.3095238,750,750,0.020418059,-0.066221444,0.138164689,0.020421091,benign
41:51.6,646,3.35E-08,0.000155799,-0.041513052,749.6190476,742,750,750,0.056843947,-0.051461691,0.083423154,0.056881614,benign
41:52.7,653,5.64E-08,0.000184781,-0.002069108,743.2380952,743.6666667,750,750,-0.003801111,-0.061689754,0.00212693,-0.00379988,benign
41:53.7,652,3.55E-08,0.000153091,0.015619467,741.1904762,749.0238095,750,750,-0.033619044,-0.066150598,-0.033962861,-0.032925186,benign
41:54.7,652,7.41E-08,0.000206462,0.028999638,764.952381,727.7857143,750,750,0.148682485,-0.074459701,-0.064933329,0.149027327,benign
41:55.8,656,3.16E-07,0.000613575,0.12320456,744.4047619,775.3095238,750,750,0.094296689,-0.062092478,-0.322797878,0.095036146,benign
41:56.8,649,1.67E-07,0.000407617,0.068932771,746.6190476,752.452381,750,750,-0.026937132,-0.001443231,-0.157452636,-0.026111899,benign
